id,year,month,day,obs_date,season_type,avg_temp,min_temp,max_temp,humidity,precipitation,wind_speed,is_flood_risk,created_at
152,2022,1,1,2022-01-01,dry,-4.3,-10.2,2.3,46.3,0.0,1.5,0,2025-06-30 14:27:58
153,2022,1,2,2022-01-02,dry,-1.3,-5.2,3.0,57.9,0.3,2.3,0,2025-06-30 14:27:59
154,2022,1,3,2022-01-03,dry,-1.9,-8.0,2.5,58.3,0.0,1.8,0,2025-06-30 14:28:00
155,2022,1,4,2022-01-04,dry,-2.5,-5.6,1.0,51.8,0.0,2.4,0,2025-06-30 14:28:00
156,2022,1,5,2022-01-05,dry,-2.8,-7.8,1.9,47.6,0.0,1.7,0,2025-06-30 14:28:01
157,2022,1,6,2022-01-06,dry,-2.2,-5.9,3.3,47.1,0.0,2.3,0,2025-06-30 14:28:02
158,2022,1,7,2022-01-07,dry,-1.6,-5.9,4.5,47.1,0.0,1.5,0,2025-06-30 14:28:02
159,2022,1,8,2022-01-08,dry,0.3,-5.0,3.7,64.3,0.0,1.7,0,2025-06-30 14:28:03
160,2022,1,9,2022-01-09,dry,1.3,-1.2,5.6,71.5,0.0,1.7,0,2025-06-30 14:28:04
161,2022,1,10,2022-01-10,dry,0.5,-3.4,4.4,68.3,0.9,2.0,0,2025-06-30 14:28:05
162,2022,1,11,2022-01-11,dry,-7.4,-10.3,0.3,55.5,0.2,4.0,0,2025-06-30 14:28:05
163,2022,1,12,2022-01-12,dry,-7.7,-11.3,-3.4,47.8,0.0,2.4,0,2025-06-30 14:28:06
164,2022,1,13,2022-01-13,dry,-6.4,-8.9,-3.1,45.8,0.0,3.3,0,2025-06-30 14:28:07
165,2022,1,14,2022-01-14,dry,-4.8,-10.1,1.3,41.8,0.0,1.7,0,2025-06-30 14:28:07
166,2022,1,15,2022-01-15,dry,-1.0,-5.3,1.8,48.3,0.0,1.9,0,2025-06-30 14:28:08
167,2022,1,16,2022-01-16,dry,-2.0,-7.2,2.4,54.5,0.0,3.3,0,2025-06-30 14:28:09
168,2022,1,17,2022-01-17,dry,-5.8,-9.2,0.1,59.9,0.5,2.2,0,2025-06-30 14:28:10
169,2022,1,18,2022-01-18,dry,-5.6,-9.9,-0.7,47.9,0.0,2.3,0,2025-06-30 14:28:10
170,2022,1,19,2022-01-19,dry,-5.3,-7.7,-2.7,72.3,1.7,2.1,0,2025-06-30 14:28:11
171,2022,1,20,2022-01-20,dry,-5.0,-9.8,0.9,63.5,0.0,1.8,0,2025-06-30 14:28:12
172,2022,1,21,2022-01-21,dry,-2.7,-8.7,4.6,55.6,0.0,1.8,0,2025-06-30 14:28:13
173,2022,1,22,2022-01-22,dry,0.3,-5.0,7.1,52.4,0.0,1.7,0,2025-06-30 14:28:13
174,2022,1,23,2022-01-23,dry,2.0,-0.6,6.7,52.4,0.0,1.7,0,2025-06-30 14:28:14
175,2022,1,24,2022-01-24,dry,4.6,1.3,8.4,56.0,0.0,3.5,0,2025-06-30 14:28:15
176,2022,1,25,2022-01-25,dry,2.8,1.9,4.5,80.0,0.7,2.3,0,2025-06-30 14:28:16
177,2022,1,26,2022-01-26,dry,1.3,-1.9,6.8,62.8,0.0,2.2,0,2025-06-30 14:28:16
178,2022,1,27,2022-01-27,dry,-1.1,-4.6,4.0,50.0,0.0,2.1,0,2025-06-30 14:28:17
179,2022,1,28,2022-01-28,dry,-2.7,-5.9,2.1,51.6,0.0,2.8,0,2025-06-30 14:28:18
180,2022,1,29,2022-01-29,dry,-3.6,-7.2,0.9,48.9,0.0,2.4,0,2025-06-30 14:28:18
181,2022,1,30,2022-01-30,dry,-2.8,-8.0,2.4,45.4,0.0,2.2,0,2025-06-30 14:28:19
182,2022,1,31,2022-01-31,dry,-0.7,-6.8,4.8,59.0,1.2,1.9,0,2025-06-30 14:28:20
183,2022,2,1,2022-02-01,dry,-1.3,-2.7,0.9,76.6,1.7,2.6,0,2025-06-30 14:28:20
184,2022,2,2,2022-02-02,dry,-3.4,-6.0,0.0,60.5,0.0,2.4,0,2025-06-30 14:28:21
185,2022,2,3,2022-02-03,dry,-3.4,-6.9,0.4,52.4,0.0,2.4,0,2025-06-30 14:28:22
186,2022,2,4,2022-02-04,dry,-5.2,-8.2,-0.7,53.3,0.0,3.1,0,2025-06-30 14:28:22
187,2022,2,5,2022-02-05,dry,-6.6,-9.7,-2.0,48.8,0.0,3.1,0,2025-06-30 14:28:23
188,2022,2,6,2022-02-06,dry,-3.9,-8.4,1.7,50.3,0.0,2.5,0,2025-06-30 14:28:24
189,2022,2,7,2022-02-07,dry,-2.5,-7.3,1.9,51.3,0.0,1.8,0,2025-06-30 14:28:25
190,2022,2,8,2022-02-08,dry,-0.1,-4.1,5.6,53.8,0.0,1.9,0,2025-06-30 14:28:25
191,2022,2,9,2022-02-09,dry,1.0,-4.3,7.2,52.3,0.0,1.8,0,2025-06-30 14:28:26
192,2022,2,10,2022-02-10,dry,1.4,-3.2,6.7,57.8,0.0,2.3,0,2025-06-30 14:28:27
193,2022,2,11,2022-02-11,dry,2.9,-2.6,8.8,61.1,0.0,1.8,0,2025-06-30 14:28:27
194,2022,2,12,2022-02-12,dry,4.8,-0.1,10.4,50.4,0.0,1.7,0,2025-06-30 14:28:28
195,2022,2,13,2022-02-13,dry,4.8,1.6,9.5,44.9,0.0,1.8,0,2025-06-30 14:28:29
196,2022,2,14,2022-02-14,dry,2.5,-1.3,8.1,68.3,1.7,2.9,0,2025-06-30 14:28:30
197,2022,2,15,2022-02-15,dry,-4.7,-7.7,-1.3,58.0,0.0,3.8,0,2025-06-30 14:28:30
198,2022,2,16,2022-02-16,dry,-7.3,-9.6,-4.1,50.4,0.0,3.7,0,2025-06-30 14:28:31
199,2022,2,17,2022-02-17,dry,-6.2,-10.7,-0.5,41.6,0.0,2.5,0,2025-06-30 14:28:32
200,2022,2,18,2022-02-18,dry,-1.2,-8.0,5.7,40.4,0.0,2.0,0,2025-06-30 14:28:32
201,2022,2,19,2022-02-19,dry,-1.7,-6.2,3.7,52.9,0.1,2.9,0,2025-06-30 14:28:33
202,2022,2,20,2022-02-20,dry,-4.8,-8.4,-0.5,41.1,0.0,4.1,0,2025-06-30 14:28:34
203,2022,2,21,2022-02-21,dry,-3.0,-8.1,3.6,56.3,0.1,2.9,0,2025-06-30 14:28:35
204,2022,2,22,2022-02-22,dry,-4.5,-8.0,0.5,43.3,0.0,3.2,0,2025-06-30 14:28:35
205,2022,2,23,2022-02-23,dry,-5.6,-10.0,-0.6,38.5,0.0,2.6,0,2025-06-30 14:28:36
206,2022,2,24,2022-02-24,dry,-2.4,-8.5,3.7,52.4,0.0,2.2,0,2025-06-30 14:28:37
207,2022,2,25,2022-02-25,dry,3.0,-3.6,8.4,77.5,0.0,2.3,0,2025-06-30 14:28:38
208,2022,2,26,2022-02-26,dry,5.4,1.0,9.3,78.4,1.1,3.9,0,2025-06-30 14:28:38
209,2022,2,27,2022-02-27,dry,3.7,-1.6,9.1,56.6,0.0,2.8,0,2025-06-30 14:28:39
210,2022,2,28,2022-02-28,dry,6.8,2.7,11.5,62.3,0.0,1.5,0,2025-06-30 14:28:40
1,2022,5,1,2022-05-01,rainy,13.4,7.9,19.2,54.8,0.0,3.1,0,2025-06-30 14:25:53
2,2022,5,2,2022-05-02,rainy,14.2,9.1,19.4,56.5,0.0,2.4,0,2025-06-30 14:25:54
3,2022,5,3,2022-05-03,rainy,14.8,9.1,20.8,45.9,0.0,2.5,0,2025-06-30 14:25:55
4,2022,5,4,2022-05-04,rainy,17.8,10.0,25.2,43.3,0.0,2.7,0,2025-06-30 14:25:55
5,2022,5,5,2022-05-05,rainy,18.9,12.5,25.8,48.1,0.0,2.2,0,2025-06-30 14:25:56
6,2022,5,6,2022-05-06,rainy,19.6,13.7,25.6,67.1,0.0,2.5,0,2025-06-30 14:25:57
7,2022,5,8,2022-05-08,rainy,15.3,11.7,18.2,51.8,2.0,2.8,0,2025-06-30 14:26:08
8,2022,5,9,2022-05-09,rainy,17.9,11.0,25.3,56.4,0.0,2.2,0,2025-06-30 14:26:09
9,2022,5,11,2022-05-11,rainy,19.7,16.6,25.2,50.4,0.0,2.4,0,2025-06-30 14:26:20
10,2022,5,12,2022-05-12,rainy,20.9,14.1,28.1,51.5,0.0,1.9,0,2025-06-30 14:26:21
11,2022,5,13,2022-05-13,rainy,19.4,15.0,25.2,45.8,0.0,2.2,0,2025-06-30 14:26:21
12,2022,5,14,2022-05-14,rainy,15.7,11.9,20.0,45.5,0.0,3.3,0,2025-06-30 14:26:22
13,2022,5,15,2022-05-15,rainy,16.2,10.5,22.4,39.8,0.0,3.2,0,2025-06-30 14:26:23
14,2022,5,16,2022-05-16,rainy,17.3,10.9,23.7,56.3,0.0,2.8,0,2025-06-30 14:26:23
15,2022,5,17,2022-05-17,rainy,20.0,13.0,27.4,60.1,0.0,2.4,0,2025-06-30 14:26:24
