id,year,month,day,obs_date,season_type,avg_temp,min_temp,max_temp,humidity,precipitation,wind_speed,is_flood_risk,created_at
1,2022,5,1,2022-05-01,rainy,13.4,7.9,19.2,54.8,0.0,3.1,0,2025-06-30 14:25:53
2,2022,5,2,2022-05-02,rainy,14.2,9.1,19.4,56.5,0.0,2.4,0,2025-06-30 14:25:54
3,2022,5,3,2022-05-03,rainy,14.8,9.1,20.8,45.9,0.0,2.5,0,2025-06-30 14:25:55
4,2022,5,4,2022-05-04,rainy,17.8,10.0,25.2,43.3,0.0,2.7,0,2025-06-30 14:25:55
5,2022,5,5,2022-05-05,rainy,18.9,12.5,25.8,48.1,0.0,2.2,0,2025-06-30 14:25:56
6,2022,5,6,2022-05-06,rainy,19.6,13.7,25.6,67.1,0.0,2.5,0,2025-06-30 14:25:57
7,2022,5,8,2022-05-08,rainy,15.3,11.7,18.2,51.8,2.0,2.8,0,2025-06-30 14:26:08
8,2022,5,9,2022-05-09,rainy,17.9,11.0,25.3,56.4,0.0,2.2,0,2025-06-30 14:26:09
9,2022,5,11,2022-05-11,rainy,19.7,16.6,25.2,50.4,0.0,2.4,0,2025-06-30 14:26:20
10,2022,5,12,2022-05-12,rainy,20.9,14.1,28.1,51.5,0.0,1.9,0,2025-06-30 14:26:21
11,2022,5,13,2022-05-13,rainy,19.4,15.0,25.2,45.8,0.0,2.2,0,2025-06-30 14:26:21
12,2022,5,14,2022-05-14,rainy,15.7,11.9,20.0,45.5,0.0,3.3,0,2025-06-30 14:26:22
13,2022,5,15,2022-05-15,rainy,16.2,10.5,22.4,39.8,0.0,3.2,0,2025-06-30 14:26:23
14,2022,5,16,2022-05-16,rainy,17.3,10.9,23.7,56.3,0.0,2.8,0,2025-06-30 14:26:23
15,2022,5,17,2022-05-17,rainy,20.0,13.0,27.4,60.1,0.0,2.4,0,2025-06-30 14:26:24
16,2022,5,18,2022-05-18,rainy,20.0,15.7,25.4,59.4,1.5,2.9,0,2025-06-30 14:26:25
17,2022,5,19,2022-05-19,rainy,19.9,16.1,24.2,53.6,0.0,3.0,0,2025-06-30 14:26:25
18,2022,5,20,2022-05-20,rainy,20.6,15.6,25.8,52.8,0.0,2.3,0,2025-06-30 14:26:26
