id,year,month,day,hour,obs_datetime,season_type,temperature,humidity,precipitation,wind_speed,pressure,hourly_flood_risk,created_at
7273,2024,5,1,0,2024-05-01 00:00:00,rainy,16.0,71.0,0.0,0.3,998.9,0,2025-06-30 14:45:36
7274,2024,5,1,1,2024-05-01 01:00:00,rainy,15.8,66.0,0.0,2.5,998.8,0,2025-06-30 14:45:36
7275,2024,5,1,2,2024-05-01 02:00:00,rainy,15.5,64.0,0.0,3.6,998.8,0,2025-06-30 14:45:36
7276,2024,5,1,3,2024-05-01 03:00:00,rainy,14.7,64.0,0.0,3.3,999.1,0,2025-06-30 14:45:36
7277,2024,5,1,4,2024-05-01 04:00:00,rainy,14.3,63.0,0.0,3.0,999.5,0,2025-06-30 14:45:36
7278,2024,5,1,5,2024-05-01 05:00:00,rainy,14.2,60.0,0.0,2.3,1000.0,0,2025-06-30 14:45:36
7279,2024,5,1,6,2024-05-01 06:00:00,rainy,14.0,54.0,0.0,3.4,1000.6,0,2025-06-30 14:45:36
7280,2024,5,1,7,2024-05-01 07:00:00,rainy,14.3,49.0,0.0,3.8,1001.1,0,2025-06-30 14:45:36
7281,2024,5,1,8,2024-05-01 08:00:00,rainy,15.1,47.0,0.0,3.6,1001.7,0,2025-06-30 14:45:36
7282,2024,5,1,9,2024-05-01 09:00:00,rainy,17.2,41.0,0.0,2.9,1002.0,0,2025-06-30 14:45:36
7283,2024,5,1,10,2024-05-01 10:00:00,rainy,18.7,38.0,0.0,2.4,1002.2,0,2025-06-30 14:45:36
7284,2024,5,1,11,2024-05-01 11:00:00,rainy,19.3,35.0,0.0,2.3,1002.3,0,2025-06-30 14:45:36
7285,2024,5,1,12,2024-05-01 12:00:00,rainy,20.5,34.0,0.0,1.8,1001.8,0,2025-06-30 14:45:36
7286,2024,5,1,13,2024-05-01 13:00:00,rainy,21.6,34.0,0.0,2.0,1001.2,0,2025-06-30 14:45:36
7287,2024,5,1,14,2024-05-01 14:00:00,rainy,22.4,31.0,0.0,2.3,1000.8,0,2025-06-30 14:45:36
7288,2024,5,1,15,2024-05-01 15:00:00,rainy,23.5,30.0,0.0,2.1,1000.3,0,2025-06-30 14:45:36
7289,2024,5,1,16,2024-05-01 16:00:00,rainy,23.8,28.0,0.0,1.7,1000.2,0,2025-06-30 14:45:36
7290,2024,5,1,17,2024-05-01 17:00:00,rainy,23.4,28.0,0.0,2.1,1000.5,0,2025-06-30 14:45:36
7291,2024,5,1,18,2024-05-01 18:00:00,rainy,23.1,29.0,0.0,0.8,1000.8,0,2025-06-30 14:45:36
7292,2024,5,1,19,2024-05-01 19:00:00,rainy,21.8,35.0,0.0,2.0,1001.6,0,2025-06-30 14:45:36
7293,2024,5,1,20,2024-05-01 20:00:00,rainy,19.7,51.0,0.0,3.6,1002.8,0,2025-06-30 14:45:36
7294,2024,5,1,21,2024-05-01 21:00:00,rainy,18.6,55.0,0.0,1.4,1003.9,0,2025-06-30 14:45:36
7295,2024,5,1,22,2024-05-01 22:00:00,rainy,17.7,59.0,0.0,0.9,1004.5,0,2025-06-30 14:45:36
7296,2024,5,1,23,2024-05-01 23:00:00,rainy,16.8,58.0,0.0,0.8,1005.4,0,2025-06-30 14:45:36
7297,2024,5,2,0,2024-05-02 00:00:00,rainy,16.1,61.0,0.0,0.1,1005.8,0,2025-06-30 14:45:37
7298,2024,5,2,1,2024-05-02 01:00:00,rainy,15.4,61.0,0.0,1.2,1006.0,0,2025-06-30 14:45:37
7299,2024,5,2,2,2024-05-02 02:00:00,rainy,15.0,60.0,0.0,1.0,1005.7,0,2025-06-30 14:45:37
7300,2024,5,2,3,2024-05-02 03:00:00,rainy,14.3,64.0,0.0,1.5,1005.9,0,2025-06-30 14:45:37
7301,2024,5,2,4,2024-05-02 04:00:00,rainy,13.9,67.0,0.0,1.7,1006.4,0,2025-06-30 14:45:37
7302,2024,5,2,5,2024-05-02 05:00:00,rainy,13.0,70.0,0.0,2.2,1006.7,0,2025-06-30 14:45:37
7303,2024,5,2,6,2024-05-02 06:00:00,rainy,12.4,72.0,0.0,2.0,1007.1,0,2025-06-30 14:45:37
