id,year,month,day,hour,obs_datetime,season_type,temperature,humidity,precipitation,wind_speed,pressure,hourly_flood_risk,created_at
10921,2025,5,1,0,2025-05-01 00:00:00,rainy,17.4,41.0,0.0,2.3,999.5,0,2025-06-30 14:49:23
10922,2025,5,1,1,2025-05-01 01:00:00,rainy,16.9,44.0,0.0,1.2,999.9,0,2025-06-30 14:49:23
10923,2025,5,1,2,2025-05-01 02:00:00,rainy,16.1,45.0,0.0,1.0,999.3,0,2025-06-30 14:49:23
10924,2025,5,1,3,2025-05-01 03:00:00,rainy,16.1,42.0,0.0,1.9,998.8,0,2025-06-30 14:49:23
10925,2025,5,1,4,2025-05-01 04:00:00,rainy,15.9,39.0,0.0,1.4,998.6,0,2025-06-30 14:49:23
10926,2025,5,1,5,2025-05-01 05:00:00,rainy,16.7,31.0,0.0,2.5,998.0,0,2025-06-30 14:49:23
10927,2025,5,1,6,2025-05-01 06:00:00,rainy,16.6,28.0,0.0,2.7,997.2,0,2025-06-30 14:49:23
10928,2025,5,1,7,2025-05-01 07:00:00,rainy,16.9,31.0,0.0,2.5,996.5,0,2025-06-30 14:49:23
10929,2025,5,1,8,2025-05-01 08:00:00,rainy,17.6,34.0,0.0,1.0,997.2,0,2025-06-30 14:49:23
10930,2025,5,1,9,2025-05-01 09:00:00,rainy,17.4,42.0,0.0,2.1,997.3,0,2025-06-30 14:49:23
10931,2025,5,1,10,2025-05-01 10:00:00,rainy,16.0,61.0,0.6,1.8,997.1,0,2025-06-30 14:49:23
10932,2025,5,1,11,2025-05-01 11:00:00,rainy,14.3,82.0,4.8,1.1,996.7,0,2025-06-30 14:49:23
10933,2025,5,1,12,2025-05-01 12:00:00,rainy,14.0,90.0,4.9,2.5,995.6,0,2025-06-30 14:49:23
10934,2025,5,1,13,2025-05-01 13:00:00,rainy,13.7,89.0,4.8,1.5,995.5,0,2025-06-30 14:49:23
10935,2025,5,1,14,2025-05-01 14:00:00,rainy,14.0,91.0,5.9,1.2,995.2,0,2025-06-30 14:49:23
10936,2025,5,1,15,2025-05-01 15:00:00,rainy,14.4,92.0,0.1,1.6,994.2,0,2025-06-30 14:49:23
10937,2025,5,1,16,2025-05-01 16:00:00,rainy,14.4,91.0,0.0,3.0,994.1,0,2025-06-30 14:49:23
10938,2025,5,1,17,2025-05-01 17:00:00,rainy,14.4,91.0,0.0,2.1,994.1,0,2025-06-30 14:49:23
10939,2025,5,1,18,2025-05-01 18:00:00,rainy,14.4,90.0,0.0,2.7,993.9,0,2025-06-30 14:49:23
10940,2025,5,1,19,2025-05-01 19:00:00,rainy,14.1,89.0,0.0,2.6,994.1,0,2025-06-30 14:49:23
10941,2025,5,1,20,2025-05-01 20:00:00,rainy,13.6,87.0,0.0,2.2,994.7,0,2025-06-30 14:49:23
10942,2025,5,1,21,2025-05-01 21:00:00,rainy,13.2,89.0,0.0,2.7,995.8,0,2025-06-30 14:49:23
10943,2025,5,1,22,2025-05-01 22:00:00,rainy,12.8,87.0,0.0,2.9,996.0,0,2025-06-30 14:49:23
10944,2025,5,1,23,2025-05-01 23:00:00,rainy,11.9,87.0,0.0,2.9,996.6,0,2025-06-30 14:49:23
10945,2025,5,2,0,2025-05-02 00:00:00,rainy,11.3,84.0,0.0,2.0,996.9,0,2025-06-30 14:49:24
10946,2025,5,2,1,2025-05-02 01:00:00,rainy,10.4,77.0,0.0,2.6,997.1,0,2025-06-30 14:49:24
10947,2025,5,2,2,2025-05-02 02:00:00,rainy,9.8,75.0,0.0,2.5,997.2,0,2025-06-30 14:49:24
10948,2025,5,2,3,2025-05-02 03:00:00,rainy,9.5,76.0,0.0,2.8,997.5,0,2025-06-30 14:49:24
10949,2025,5,2,4,2025-05-02 04:00:00,rainy,9.2,77.0,0.0,3.5,997.7,0,2025-06-30 14:49:24
10950,2025,5,2,5,2025-05-02 05:00:00,rainy,8.8,78.0,0.0,2.9,997.7,0,2025-06-30 14:49:24
10951,2025,5,2,6,2025-05-02 06:00:00,rainy,8.2,82.0,0.0,1.9,998.1,0,2025-06-30 14:49:24
10952,2025,5,2,7,2025-05-02 07:00:00,rainy,8.5,83.0,0.0,2.1,998.6,0,2025-06-30 14:49:24
10953,2025,5,2,8,2025-05-02 08:00:00,rainy,9.9,75.0,0.0,3.5,998.9,0,2025-06-30 14:49:24
10954,2025,5,2,9,2025-05-02 09:00:00,rainy,11.6,68.0,0.0,2.6,999.9,0,2025-06-30 14:49:24
10955,2025,5,2,10,2025-05-02 10:00:00,rainy,13.3,58.0,0.0,3.3,1000.1,0,2025-06-30 14:49:24
10956,2025,5,2,11,2025-05-02 11:00:00,rainy,14.8,48.0,0.0,3.5,1000.2,0,2025-06-30 14:49:24
10957,2025,5,2,12,2025-05-02 12:00:00,rainy,16.5,49.0,0.0,2.8,999.8,0,2025-06-30 14:49:24
10958,2025,5,2,13,2025-05-02 13:00:00,rainy,17.0,40.0,0.0,4.9,999.7,0,2025-06-30 14:49:24
10959,2025,5,2,14,2025-05-02 14:00:00,rainy,17.6,35.0,0.0,4.2,999.4,0,2025-06-30 14:49:24
10960,2025,5,2,15,2025-05-02 15:00:00,rainy,18.2,46.0,0.0,3.4,999.2,0,2025-06-30 14:49:24
10961,2025,5,2,16,2025-05-02 16:00:00,rainy,17.2,44.0,0.0,4.8,999.5,0,2025-06-30 14:49:24
10962,2025,5,2,17,2025-05-02 17:00:00,rainy,16.9,43.0,0.0,2.8,999.0,0,2025-06-30 14:49:24
10963,2025,5,2,18,2025-05-02 18:00:00,rainy,16.2,42.0,0.0,2.6,999.0,0,2025-06-30 14:49:24
10964,2025,5,2,19,2025-05-02 19:00:00,rainy,15.2,46.0,0.0,2.7,999.0,0,2025-06-30 14:49:24
10965,2025,5,2,20,2025-05-02 20:00:00,rainy,14.4,49.0,0.0,2.4,999.6,0,2025-06-30 14:49:24
10966,2025,5,2,21,2025-05-02 21:00:00,rainy,13.8,51.0,0.0,0.6,999.1,0,2025-06-30 14:49:24
10967,2025,5,2,22,2025-05-02 22:00:00,rainy,13.7,51.0,0.0,2.7,999.6,0,2025-06-30 14:49:24
10968,2025,5,2,23,2025-05-02 23:00:00,rainy,13.5,53.0,0.0,3.0,999.6,0,2025-06-30 14:49:24
10969,2025,5,3,0,2025-05-03 00:00:00,rainy,12.9,60.0,0.0,2.7,999.6,0,2025-06-30 14:49:26
10970,2025,5,3,1,2025-05-03 01:00:00,rainy,12.6,49.0,0.0,1.7,998.8,0,2025-06-30 14:49:26
10971,2025,5,3,2,2025-05-03 02:00:00,rainy,12.5,50.0,0.0,2.0,998.8,0,2025-06-30 14:49:26
10972,2025,5,3,3,2025-05-03 03:00:00,rainy,11.5,65.0,0.2,1.9,999.1,0,2025-06-30 14:49:26
