id,year,month,day,obs_date,season_type,avg_temp,min_temp,max_temp,humidity,precipitation,wind_speed,is_flood_risk,created_at,actual_flood,is_peak_rainy,is_typhoon_season,is_early_rainy,precip_risk_level,precip_ma3,humidity_ma3,precip_ma7,humidity_ma7,rain_days_cumsum
52,2022,6,23,2022-06-23,rainy,24.3,23.3,26.4,89.1,103.0,2.8,1,2025-06-30 14:26:49,0,1,0,0,4,34.333333333333336,77.60000000000001,14.714285714285714,78.14285714285714,1
59,2022,6,30,2022-06-30,rainy,22.3,21.2,24.5,99.3,176.2,2.3,1,2025-06-30 14:26:53,0,1,0,0,4,73.43333333333332,92.23333333333335,35.07142857142857,87.78571428571429,4
72,2022,7,13,2022-07-13,rainy,25.0,24.0,27.1,93.9,114.5,1.8,1,2025-06-30 14:27:02,0,1,0,0,4,41.166666666666664,80.66666666666667,17.9,79.82857142857142,1
93,2022,8,3,2022-08-03,rainy,27.1,25.2,30.0,90.1,51.1,2.8,1,2025-06-30 14:27:16,0,0,1,0,3,38.199999999999996,87.5,23.25714285714286,78.37142857142858,4
98,2022,8,8,2022-08-08,rainy,26.8,,28.4,91.6,129.6,3.3,1,2025-06-30 14:27:20,1,0,1,0,4,48.03333333333333,86.33333333333333,32.67142857142857,85.0,1
99,2022,8,9,2022-08-09,rainy,25.1,22.0,26.5,96.0,123.1,2.6,1,2025-06-30 14:27:20,1,0,1,0,4,84.53333333333333,89.89999999999999,45.471428571428575,85.85714285714286,2
109,2022,8,19,2022-08-19,rainy,26.0,23.3,27.5,86.1,66.1,2.3,1,2025-06-30 14:27:28,0,0,1,0,3,22.03333333333333,79.5,10.571428571428575,80.38571428571429,1
126,2022,9,5,2022-09-05,rainy,19.2,17.7,22.7,95.9,120.0,3.2,1,2025-06-30 14:27:40,0,0,1,0,4,51.26666666666667,82.5,27.08571428571429,79.95714285714284,2
222,2022,11,12,2022-11-12,dry,16.3,11.6,22.0,80.0,57.9,2.2,1,2025-06-30 14:28:48,0,0,0,0,3,19.3,72.33333333333333,8.271428571428576,69.47142857142858,1
329,2023,6,29,2023-06-29,rainy,24.2,23.2,25.9,95.4,63.8,2.3,1,2025-06-30 14:30:29,0,1,0,0,3,22.099999999999998,81.96666666666668,13.800000000000002,78.07142857142857,1
334,2023,7,4,2023-07-04,rainy,26.1,24.5,29.2,86.8,61.8,2.3,1,2025-06-30 14:30:33,0,1,0,0,3,20.599999999999998,79.43333333333335,18.08571428571429,82.54285714285713,1
341,2023,7,11,2023-07-11,rainy,23.5,21.6,25.9,92.4,58.3,1.9,1,2025-06-30 14:30:38,0,1,0,0,3,39.1,86.40000000000002,18.942857142857147,79.15714285714286,3
343,2023,7,13,2023-07-13,rainy,25.2,24.7,26.5,95.0,91.6,1.6,1,2025-06-30 14:30:39,0,1,0,0,3,50.199999999999996,91.2666666666667,29.942857142857147,83.14285714285714,1
344,2023,7,14,2023-07-14,rainy,24.6,23.9,25.1,99.1,72.7,2.9,1,2025-06-30 14:30:40,0,1,0,0,3,55.0,93.5,40.32857142857143,88.02857142857142,2
371,2023,8,10,2023-08-10,rainy,22.2,20.9,25.1,91.9,86.1,3.7,1,2025-06-30 14:31:00,1,0,1,0,3,28.766666666666666,73.33333333333334,13.02857142857143,71.64285714285714,1
389,2023,8,29,2023-08-29,rainy,23.9,22.5,25.5,89.6,54.8,2.1,1,2025-06-30 14:31:26,0,0,1,0,3,21.733333333333334,84.03333333333335,16.028571428571432,82.62857142857142,2
604,2024,7,2,2024-07-02,rainy,23.2,21.9,25.2,90.0,65.1,2.8,1,2025-06-30 14:34:04,0,1,0,0,3,32.43333333333333,82.53333333333336,19.371428571428574,69.04285714285713,1
619,2024,7,17,2024-07-17,rainy,25.4,24.1,28.1,91.6,98.8,2.5,1,2025-06-30 14:34:15,1,1,0,0,3,38.6,78.20000000000003,16.600000000000005,75.65714285714284,2
620,2024,7,18,2024-07-18,rainy,24.3,23.1,25.6,95.3,128.8,2.2,1,2025-06-30 14:34:16,0,1,0,0,4,81.53333333333335,88.43333333333335,35.00000000000001,77.89999999999999,3
624,2024,7,22,2024-07-22,rainy,26.6,24.3,27.9,89.0,79.9,3.1,1,2025-06-30 14:34:19,0,1,0,0,3,34.433333333333344,84.33333333333336,49.71428571428573,85.48571428571428,3
684,2024,9,20,2024-09-20,rainy,25.0,17.9,28.6,89.8,54.5,2.4,1,2025-06-30 14:35:02,0,0,1,0,3,18.40000000000001,81.33333333333336,9.24285714285715,78.41428571428571,1
830,2025,5,16,2025-05-16,rainy,19.4,17.8,22.0,92.6,51.3,1.8,1,2025-06-30 14:36:57,0,0,0,1,3,17.466666666666676,75.43333333333337,9.500000000000009,72.67142857142858,2
865,2025,6,20,2025-06-20,rainy,24.1,22.2,28.3,93.4,51.1,3.9,1,2025-06-30 14:37:24,0,1,0,0,3,17.300000000000008,72.20000000000003,11.957142857142866,73.37142857142855,1
