	token	경주빈도	전주빈도	빈도합	전주비율	경주비율
0	코스	358	386	744	51.88%	48.12%
1	추천	321	240	561	42.78%	57.22%
2	맛집	96	230	326	70.55%	29.45%
3	여수	0	280	280	100.00%	0.00%
4	주달	0	244	244	100.00%	0.00%
5	계획	125	48	173	27.75%	72.25%
6	숙소	112	48	160	30.00%	70.00%
7	일정	92	64	156	41.03%	58.97%
8	질문	92	62	154	40.26%	59.74%
9	한옥마을	0	154	154	100.00%	0.00%
10	부탁	84	60	144	41.67%	58.33%
11	티비	0	142	142	100.00%	0.00%
12	국내	4	134	138	97.10%	2.90%
13	답변	84	45	129	34.88%	65.12%
14	제주	4	122	126	96.83%	3.17%
15	전문	8	102	110	92.73%	7.27%
16	봉이	0	102	102	100.00%	0.00%
17	언서	0	102	102	100.00%	0.00%
18	제주도	0	102	102	100.00%	0.00%
19	한옥	4	94	98	95.92%	4.08%
20	친구	36	62	98	63.27%	36.73%
21	마을	0	94	94	100.00%	0.00%
22	가족	76	16	92	17.39%	82.61%
23	안녕	46	43	89	48.31%	51.69%
24	참고	45	36	81	44.44%	55.56%
25	황리	76	0	76	0.00%	100.00%
26	당일치기	20	56	76	73.68%	26.32%
27	관련	52	22	74	29.73%	70.27%
28	택시	44	24	68	35.29%	64.71%
29	정도	43	25	68	36.76%	63.24%
30	이번	24	44	68	64.71%	35.29%
31	예정	32	28	60	46.67%	53.33%
32	공원	12	44	56	78.57%	21.43%
33	준비	36	20	56	35.71%	64.29%
34	근처	24	28	52	53.85%	46.15%
35	시간	18	30	48	62.50%	37.50%
36	이용	20	28	48	58.33%	41.67%
37	버스	16	32	48	66.67%	33.33%
38	엄마	44	4	48	8.33%	91.67%
39	아이	36	12	48	25.00%	75.00%
40	터미널	20	25	45	55.56%	44.44%
41	가능	19	24	43	55.81%	44.19%
42	날씨	42	0	42	0.00%	100.00%
43	장소	20	22	42	52.38%	47.62%
44	아래	25	16	41	39.02%	60.98%
45	문화	24	16	40	40.00%	60.00%
46	역사	36	4	40	10.00%	90.00%
47	덕진	0	40	40	100.00%	0.00%
48	관광지	20	20	40	50.00%	50.00%
49	추억	24	16	40	40.00%	60.00%
50	방문	29	8	37	21.62%	78.38%
51	관광	12	24	36	66.67%	33.33%
52	이동	12	24	36	66.67%	33.33%
53	시작	12	24	36	66.67%	33.33%
54	도움	16	20	36	55.56%	44.44%
55	혼자	16	20	36	55.56%	44.44%
56	운전	36	0	36	0.00%	100.00%
57	식당	32	4	36	11.11%	88.89%
58	남자	12	24	36	66.67%	33.33%
59	동선	32	4	36	11.11%	88.89%
60	갈만	12	23	35	65.71%	34.29%
61	당일	17	16	33	48.48%	51.52%
62	사람	8	25	33	75.76%	24.24%
63	카페	20	13	33	39.39%	60.61%
64	대중교통	12	20	32	62.50%	37.50%
65	주말	16	16	32	50.00%	50.00%
66	렌트	12	20	32	62.50%	37.50%
67	시장	8	24	32	75.00%	25.00%
68	투어	24	8	32	25.00%	75.00%
69	여자	20	12	32	37.50%	62.50%
70	월지	31	0	31	0.00%	100.00%
71	동물원	0	31	31	100.00%	0.00%
72	펜션	18	12	30	40.00%	60.00%
73	첨성대	29	0	29	0.00%	100.00%
74	아빠	25	4	29	13.79%	86.21%
75	부모	8	20	28	71.43%	28.57%
76	불국사	28	0	28	0.00%	100.00%
77	도착	20	8	28	28.57%	71.43%
78	비용	0	28	28	100.00%	0.00%
79	동궁	27	0	27	0.00%	100.00%
80	감사	0	26	26	100.00%	0.00%
81	어머니	22	4	26	15.38%	84.62%
82	체험	8	18	26	69.23%	30.77%
83	가격	8	17	25	68.00%	32.00%
84	수목원	0	24	24	100.00%	0.00%
85	플레이스	24	0	24	0.00%	100.00%
86	거리	8	16	24	66.67%	33.33%
87	기차	8	16	24	66.67%	33.33%
88	정보	8	16	24	66.67%	33.33%
89	아들	24	0	24	0.00%	100.00%
90	포항	12	12	24	50.00%	50.00%
91	박물관	12	12	24	50.00%	50.00%
92	전라도	0	24	24	100.00%	0.00%
93	호텔	6	17	23	73.91%	26.09%
94	소개	21	0	21	0.00%	100.00%
95	처음	13	8	21	38.10%	61.90%
96	가요	15	6	21	28.57%	71.43%
97	볼거리	12	8	20	40.00%	60.00%
98	고등학생	16	4	20	20.00%	80.00%
99	루트	20	0	20	0.00%	100.00%
100	하루	16	4	20	20.00%	80.00%
101	학년	12	8	20	40.00%	60.00%
102	국립	12	8	20	40.00%	60.00%
103	첨부	16	4	20	20.00%	80.00%
104	지도	20	0	20	0.00%	100.00%
105	포함	8	12	20	60.00%	40.00%
106	위주	12	8	20	40.00%	60.00%
107	명소	12	8	20	40.00%	60.00%
108	서울	8	12	20	60.00%	40.00%
109	도보	16	4	20	20.00%	80.00%
110	도시	16	4	20	20.00%	80.00%
111	남부	0	20	20	100.00%	0.00%
112	강아지	0	20	20	100.00%	0.00%
113	생각	12	8	20	40.00%	60.00%
114	야경	15	4	19	21.05%	78.95%
115	확인	14	4	18	22.22%	77.78%
116	특별	18	0	18	0.00%	100.00%
117	얼마	4	13	17	76.47%	23.53%
118	한국	8	8	16	50.00%	50.00%
119	렌트카	8	8	16	50.00%	50.00%
120	다음	8	8	16	50.00%	50.00%
121	동반	8	8	16	50.00%	50.00%
122	초등	8	8	16	50.00%	50.00%
123	반려	8	8	16	50.00%	50.00%
124	향교	0	16	16	100.00%	0.00%
125	완산구	0	16	16	100.00%	0.00%
126	경험	12	4	16	25.00%	75.00%
127	한복	4	12	16	75.00%	25.00%
128	예약	12	4	16	25.00%	75.00%
129	교통편	16	0	16	0.00%	100.00%
130	동안	16	0	16	0.00%	100.00%
131	석굴암	16	0	16	0.00%	100.00%
132	시내	16	0	16	0.00%	100.00%
133	실패	16	0	16	0.00%	100.00%
134	월드	16	0	16	0.00%	100.00%
135	대부분	4	12	16	75.00%	25.00%
136	게스트	12	4	16	25.00%	75.00%
137	필요	4	12	16	75.00%	25.00%
138	시절	12	4	16	25.00%	75.00%
139	경비	4	12	16	75.00%	25.00%
140	요소	4	12	16	75.00%	25.00%
141	산책	0	16	16	100.00%	0.00%
